name,year,link
4Runner,2025,https://www.toyota.com/4runner/2025
4Runner i-FORCE MAX,2025,https://www.toyota.com/4runnerhybrid/2025
bZ4X,2025,https://www.toyota.com/bz4x/2025
Camry,2025,https://www.toyota.com/camry/2025
Corolla,2025,https://www.toyota.com/corolla/2025
Corolla Cross,2025,https://www.toyota.com/corollacross/2025
Corolla Cross Hybrid,2025,https://www.toyota.com/corollacrosshybrid/2025
Corolla Hatchback,2025,https://www.toyota.com/corollahatchback/2025
Corolla Hybrid,2025,https://www.toyota.com/corollahybrid/2025
GR Corolla,2025,https://www.toyota.com/grcorolla/2025
GR Supra,2025,https://www.toyota.com/grsupra/2025
GR Supra,2026,https://www.toyota.com/grsupra/2026
GR86,2025,https://www.toyota.com/gr86/2025
Grand Highlander,2025,https://www.toyota.com/grandhighlander/2025
Grand Highlander Hybrid,2025,https://www.toyota.com/grandhighlanderhybrid/2025
Highlander,2025,https://www.toyota.com/highlander/2025
Highlander Hybrid,2025,https://www.toyota.com/highlanderhybrid/2025
Land Cruiser,2025,https://www.toyota.com/landcruiser/2025
Mirai,2025,https://www.toyota.com/mirai/2025
Prius,2024,https://www.toyota.com/prius/2024
Prius,2025,https://www.toyota.com/prius/2025
Prius Prime,2024,https://www.toyota.com/priusprime/2024
Prius Plug-in Hybrid,2025,https://www.toyota.com/priuspluginhybrid/2025
RAV4,2025,https://www.toyota.com/rav4/2025
RAV4 Hybrid,2025,https://www.toyota.com/rav4hybrid/2025
RAV4 Plug-in Hybrid,2025,https://www.toyota.com/rav4pluginhybrid/2025
Sequoia,2025,https://www.toyota.com/sequoia/2025
Sienna,2025,https://www.toyota.com/sienna/2025
Tacoma,2024,https://www.toyota.com/tacoma/2024
Tacoma,2025,https://www.toyota.com/tacoma/2025
Tacoma i-FORCE MAX,2024,https://www.toyota.com/tacomahybrid/2024
Tacoma i-FORCE MAX,2025,https://www.toyota.com/tacomahybrid/2025
Toyota Crown,2025,https://www.toyota.com/toyotacrown/2025
Toyota Crown,2026,https://www.toyota.com/toyotacrown/2026
Toyota Crown Signia,2025,https://www.toyota.com/toyotacrownsignia/2025
Tundra,2025,https://www.toyota.com/tundra/2025
Tundra i-FORCE MAX,2025,https://www.toyota.com/tundrahybrid/2025
